# Part A: Complete Exercise Database (Gym Equipment)

Below is an exhaustive list of the top exercises for each muscle group, with details on muscles targeted, equipment, technique, common errors, cues, goals, and recommended sets/reps/rest by level. **Tables summarize the main programming data (sets–reps–rest) and key notes;** accompanying bullet lists give step-by-step execution, mistakes, and cues. 

### Latissimus Dorsi (Back Width, V-Taper)

| Exercise               | Equipment           | Sets (Beg/Int/Adv)     | Reps (Beg/Int/Adv)    | Rest    | Notes (Primary/Secondary, Goals, Cues)                                              |
|------------------------|---------------------|------------------------|-----------------------|---------|-------------------------------------------------------------------------------------|
| **Wide-Grip Pull-Up**  | Pull-up bar         | 2 / 3 / 4              | 5–8 / 8–12 / 8–12     | 90 s    | *Primary:* Lats; *Secondary:* Biceps, traps, rear delts.  Excellent for upper-body pulling strength and V-taper width. Cue on ascent: “Lead with your elbows down and back, chest to bar.” Keep shoulders down. Mistakes: shrugging shoulders, bending wrists, kipping. Aids core stability. Good for strength/hypertrophy. |
| **Lat Pulldown (Wide)**| Lat pulldown machine| 2 / 3 / 4              | 8–12 / 8–12 / 8–12    | 60–90 s | *Primary:* Lats; *Secondary:* Biceps, rear deltoids. Focus on pulling elbows straight down (imagine “wrapping the bar around your torso”). Cue: “Squeeze lats at bottom.” Mistakes: leaning too far back, jerking, using arms more than back. Ideal for hypertrophy of back width. |
| **Chin-Up (Close)**    | Pull-up bar         | 2 / 3 / 4              | 5–8 / 8–12 / 8–12     | 90 s    | *Primary:* Lats and biceps; *Secondary:* lower traps, mid-back. Chin-up (underhand grip) engages lats with extra biceps involvement. Cue: “Pull chest up to bar, elbows close to body.” Avoid swinging or partial reps. Good for lats and arm development. |
| **Bent-Over Barbell Row** | Barbell           | 2 / 3 / 4              | 6–10 / 8–12 / 6–10    | 90–120 s| *Primary:* Lats, middle traps, rhomboids; *Secondary:* rear delts, forearms. Keep back flat, hinge at hips, pull bar to lower sternum. Cue: “Row elbows past your torso, squeeze shoulder blades.” Common errors: rounding back, letting elbows flare out, using momentum. Great for back thickness and strength. |
| **Single-Arm Dumbbell Row** | Dumbbell, bench | 2 / 3 / 4              | 8–12 / 8–12 / 6–10    | 60–90 s | *Primary:* Lats and rhomboids; *Secondary:* biceps, traps. Brace one hand on bench, row DB up to hip. Cue: “Imagine driving elbow into ceiling.” Mistakes: twisting torso, shoulder droop. Builds unilateral back strength and peak contraction. |
| **Seated Cable Row**   | Cable row machine   | 2 / 3 / 4              | 8–12 / 8–12 / 8–12    | 60–90 s | *Primary:* Middle/lower lats and rhomboids; *Secondary:* traps, biceps. Sit tall, pull handle to abdomen with shoulders back. Cue: “Drive elbows back, pinch blades.” Common mistakes: leaning forward, rounding shoulders, letting weight stack touch between reps. Good for controlled rowing and posture. |
| **T-Bar Row**          | T-bar machine/bar in corner | 2 / 3 / 4        | 6–10 / 8–12 / 6–10    | 90–120 s| *Primary:* Lats and traps; *Secondary:* rhomboids, rear delts. With chest braced on pad or free, row weight to chest. Cue: “Pull elbows back to sides.” Avoid lifting too high or jerking. Great for heavy back strength. |
| **Straight-Arm Pulldown** | Cable with straight bar | 2 / 3 / 4       | 10–15 / 10–15 / 10–15 | 60 s    | *Primary:* Lats; *Secondary:* teres major, rear delts. Stand, grip bar, keep arms mostly straight, hinge at hips. Pull bar down to thighs with shoulders driving motion. Cue: “Keep arms locked, pull from shoulders.” Mistakes: bending arms, using biceps. Good finishing move for lat stretch and mind-muscle. |
| **Inverted Bodyweight Row** | Smith rack/bar at waist height | 3 / 3 / 4  | 8–12 / 8–12 / 10–15   | 60–90 s | *Primary:* Upper back (lats, traps, rhomboids); *Secondary:* biceps. Lie under bar, pull chest to bar. Cue: “Drive elbows to ceiling.” Keep body in straight plank. Mistakes: sagging hips. Can be done with feet elevated for intensity. Useful bodyweight back exercise. |
| **Deadlift (Conventional)** | Barbell           | 2 / 3 / 4              | 5–8 / 5–8 / 3–5       | 120–180 s| *Primary:* Glutes, hamstrings, lower back; *Secondary:* entire back (traps, lats), forearms. Though full-body, deadlifts develop overall posterior chain including back width via traps and lats. Keep bar close, drive hips. Cue: “Brace core, drive feet into ground.” Mistakes: rounding back, hips too high. Best for strength (performed lightly or skipped for V-taper focus since it thickens trunk). |

### Trapezius (Upper, Mid, Lower)

| Exercise              | Equipment             | Sets (B/I/A)   | Reps (B/I/A)   | Rest   | Notes (Primary/Secondary, Goals, Cues)                                                              |
|-----------------------|-----------------------|----------------|----------------|--------|-----------------------------------------------------------------------------------------------------|
| **Barbell/Dumbbell Shrug** | Barbell or Dumbbells | 3 / 3 / 4   | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Upper traps (also middle). *Secondary:* spinal erectors (barbell). Stand tall, lift shoulders straight up, hold and lower. Cue: “Think shrugging toward ears, keep arms straight.” Common mistakes: rolling shoulders (instead shrug straight), bending knees. Good for trap mass and posture. |
